Parameter,AR(1),SAC,BLE,VAR(1),MSV
phi,1.434,1.546,1.297,3.046,4.515
sigma_c,0.924,0.708,0.459,1.02,0.981
lambda,0.625,0.693,0.768,0.693,0.677
xi_w,0.669,0.658,0.703,0.658,0.627
sigma_l,2.128,1.898,1.802,1.648,1.68
xi_p,0.638,0.548,0.718,0.641,0.509
iota_w,0.186,0.2,0.188,0.231,0.063
iota_p,0.339,0.246,0.369,0.215,0.777
psi,0.454,0.51,0.448,0.51,0.557
phi_p,1.575,1.608,1.363,1.608,1.592
r_pi,1.5,1.523,1.543,1.523,1.413
rho,0.896,0.894,0.894,0.894,0.894
r_y,0.127,0.126,0.128,0.126,0.139
r_dy,0.127,0.122,0.143,0.122,0.149
pi_bar,0.667,0.573,0.829,0.698,0.725
beta_const,0.212,0.212,0.21,0.212,0.212
l_bar,-0.023,0.119,-0.447,0.744,0.369
gamma_bar,0.421,0.411,0.403,0.411,0.38
alpha,0.167,0.156,0.136,0.171,0.177
rho_a,0.945,0.946,0.931,0.946,0.954
rho_b,0.249,0.379,0.321,0.129,0.177
rho_g,0.99,0.991,0.998,0.991,0.975
rho_i,0.493,0.685,0.416,0.497,0.513
rho_r,0.066,0.069,0.07,0.069,0.066
rho_p,0.101,0.151,0.108,0.12,0.05
rho_w,0.178,0.361,0.313,0.204,0.728
rho_ga,0.538,0.53,0.548,0.53,0.561
eta_a,0.454,0.452,0.487,0.452,0.452
eta_b,2.764,2.902,2.91,3.402,1.809
eta_g,0.502,0.505,0.489,0.505,0.505
eta_i,1.61,1.626,1.465,1.626,1.657
eta_r,0.208,0.207,0.208,0.207,0.207
eta_p,0.407,0.388,0.412,0.357,0.333
eta_w,0.549,0.549,0.542,0.549,0.229
eta_pi_exp,0.188,0.177,0.231,0.286,0.273
gain,0.045,0.042,0.009,0.031,0.027
likelihood at mode,-974.38328632752,-959.085363609387,-977.916855122328,-992.439630653302,-1076.42599879317
