Parameter,REE
eta_a,0.448383466347658
eta_b,2.01172753190488
eta_g,0.507072557627177
eta_i,0.464607241240681
eta_r,0.217318668332177
eta_p,0.307347072989605
eta_w,0.150833500023065
eta_pi_exp,0.188573605830019
phi,4.02747990491392
sigma_c,1.42492473034011
lambda,0.693564396303356
xi_w,0.432396501935752
sigma_l,0.250000037682711
xi_p,0.893302986099802
iota_w,0.120207805611433
iota_p,0.372879785147628
psi,0.402404887695434
phi_p,1.59662263829617
r_pi,1.63824210474791
rho,0.870286284420765
r_y,0.126244604950293
r_dy,0.179958022231865
pi_bar,0.78138379798648
l_bar,1.04867844104924
gamma_bar,0.450214222277216
alpha,0.216823244376812
rho_a,0.951212242929516
rho_b,0.170529020011157
rho_g,0.966047029375693
rho_i,0.725117499680502
rho_r,0.0371137401087541
rho_p,0.0388451602316528
rho_w,0.979534224246188
rho_ga,0.589581181298795
likelihood at mode,-1164.13573137621
