Parameter,REE
eta_a,0.442154135274093
eta_b,2.48986722408019
eta_g,0.559934575265163
eta_i,0.378150636769458
eta_r,0.21858041489423
eta_p,0.207465729330169
eta_w,0.101000784490838
phi,5.45900170914473
sigma_c,1.29800377731632
lambda,0.776088820388402
xi_w,0.691654348913166
sigma_l,1.10864058007006
xi_p,0.582512349501251
iota_w,0.279797761955606
iota_p,0.181039677000349
psi,0.53409161516787
phi_p,1.66904113939033
r_pi,1.48505178251995
rho,0.858471979590548
r_y,0.0943452149979998
r_dy,0.145770783354338
pi_bar,0.660231749912749
beta_const,0.149816775074297
l_bar,1.47547204381711
gamma_bar,0.401244613859555
alpha,0.172747772387316
rho_a,0.910828432585081
rho_b,0.267310944510169
rho_g,0.990031102471534
rho_i,0.802672809102769
rho_r,0.0623276655153312
rho_p,0.580975621534347
rho_w,0.884371833823696
rho_ga,0.500706810808373
likelihood at mode,-1069.0803824552
